jar_file,sha256,mod_id,mod_name,installed_version,authors,environment,project_url,repository_url,license_name,spdx_identifier,license_type,license_url,license_source,license_version,license_found_in_jar,curseforge_project_id,curseforge_file_id,modrinth_project_id,public_modpack_distribution,curseforge_distribution,jar_redistribution,commercial_server_use,monetized_server_use,modification_allowed,source_disclosure_required,attribution_required,license_file_required,notice_file_required,written_permission_required,confidence,status,notes
Controlling-fabric-1.21.1-19.0.5.jar,c0150c5bfbc77f27b92f24a5a9c2edc462eba8c8f912635757c5deb3a0a93f8d,controlling,Controlling,19.0.5,Jaredlll08,client,https://www.curseforge.com/minecraft/mc-mods/controlling,https://github.com/jaredlll08/controlling,MIT License,MIT,PERMISSIVA,https://github.com/jaredlll08/controlling/blob/main/LICENSE,Metadata fabric.mod.json / JAR embedded,1.0,True,250398,6368974,,SIM,SIM,SIM,SIM,SIM,SIM,NÃO,SIM,SIM,CONDICIONAL,NÃO,ALTA,APROVADO,
CrashAssistant-fabric-1.20.2-1.21.4-1.11.11.jar,6dae81228d79570e0f3c8bbfa7c8d9f8597dea3ed8b3d7398beb23e74443de3c,crash_assistant,Crash Assistant,1.11.11,KostromDan,*,https://www.curseforge.com/minecraft/mc-mods/crash-assistant,https://github.com/KostromDan/Crash-Assistant,KostromDan’s Modded Minecraft License (Version 1.1.3),CUSTOM,CUSTOMIZADA,https://github.com/KostromDan/Crash-Assistant/blob/main/LICENSE,Metadata fabric.mod.json,1.0,True,1154099,8422740,,SIM,SIM,CONDICIONAL,SIM,SIM,NÃO,NÃO,SIM,SIM,CONDICIONAL,NÃO,ALTA,APROVADO,
Debugify-1.21.1+1.0.jar,e61e83875190150337a2366d9374f04865654de7bdf83e6ab29d9915899f8d7a,Debugify-1.21.1+1.0,Debugify,None,isXander,both,https://www.curseforge.com/minecraft/mc-mods/debugify,,GPL-3.0,GPL-3.0,COPYLEFT,https://www.curseforge.com/minecraft/mc-mods/debugify,Upstream repo (GPL-3.0),3.0,False,596224,5691544,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,CONDICIONAL,NÃO,ALTA,APROVADO,
ForgeConfigAPIPort-v21.1.6-1.21.1-Fabric.jar,2e3a8f0e3bda85a7d722720e7ce879cbd9d028d9395c6fc224d329b3c982d9b1,forgeconfigapiport,Forge Config API Port,21.1.6,Fuzs,*,https://github.com/Fuzss/forgeconfigapiport,https://github.com/Fuzss/forgeconfigapiport,Mozilla Public License 2.0,MPL-2.0,COPYLEFT,https://github.com/Fuzss/forgeconfigapiport/blob/main/LICENSE,Metadata fabric.mod.json,2.0,True,547434,7213608,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,CONDICIONAL,NÃO,ALTA,APROVADO,
Highlighter-1.21-fabric-1.1.11.jar,e7e1d43e52da7b695907632785675d9aa21c2726b3ade7a51721e4b0e16f67b1,highlighter,Highlighter,1.1.11,Grend,client,https://anthonyhilyard.com/,https://github.com/AHilyard/Highlighter,Creative Commons CC-BY-NC-ND-4.0,CC-BY-NC-ND-4.0,CREATIVE_COMMONS,https://github.com/AHilyard/Highlighter/blob/main/LICENSE,Metadata fabric.mod.json,4.0,False,541578,5591012,,SIM,SIM,SIM,SIM,SIM,NÃO,NÃO,SIM,SIM,CONDICIONAL,NÃO,ALTA,APROVADO,
Iceberg-1.21.1-fabric-1.3.2.jar,9214790af6fb75c19ef6b95e0e47999addf018e8c7a1630a5118c4252e6d8d36,iceberg,Iceberg,1.3.2,Grend,*,https://anthonyhilyard.com/,https://github.com/AHilyard/Iceberg,Creative Commons CC-BY-NC-ND-4.0,CC-BY-NC-ND-4.0,CREATIVE_COMMONS,https://github.com/AHilyard/Iceberg/blob/main/LICENSE,Metadata fabric.mod.json,4.0,False,539382,6423860,,SIM,SIM,SIM,SIM,SIM,NÃO,NÃO,SIM,SIM,CONDICIONAL,NÃO,ALTA,APROVADO,
ImmediatelyFast-Fabric-1.6.11+1.21.1.jar,05a5f3c716ae631af3cc925c8144894368c632156f2d581dd8295cc223ea2f6d,immediatelyfast,ImmediatelyFast,1.6.11+1.21.1,RK_01,client,https://github.com/RaphiMC/ImmediatelyFast,https://github.com/RaphiMC/ImmediatelyFast,GNU Lesser General Public License v3.0,LGPL-3.0-only,COPYLEFT,https://github.com/RaphiMC/ImmediatelyFast/blob/main/LICENSE,Metadata fabric.mod.json,3.0,True,686911,8348516,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,CONDICIONAL,NÃO,ALTA,APROVADO,
Jade-1.21.1-Fabric-15.10.5.jar,b78e8f6e0e3d0148ae3b042c484d11bc5c53a81fbe71a9dcbc750338f4dce386,jade,Jade,15.10.5+fabric,Snownee,both,https://www.curseforge.com/minecraft/mc-mods/jade,https://github.com/Snownee/Jade,Creative Commons CC-BY-NC-SA-4.0,CC-BY-NC-SA-4.0,CREATIVE_COMMONS,https://github.com/Snownee/Jade/blob/main/LICENSE,Metadata fabric.mod.json,4.0,False,324717,7545228,,SIM,SIM,SIM,SIM,SIM,NÃO,NÃO,SIM,SIM,CONDICIONAL,NÃO,ALTA,APROVADO,
Luckys-Cozyhome-Refurnished-1.1.20.jar,0915e3e54c12fe40622cab94005418d32cbde011fa9c2d7c27756eb7d5313a66,cozyhome,Cozy Home,1.1.20,"LuckyOwl, DipChip",*,https://fabricmc.net/,https://github.com/FabricMC/fabric-example-mod,MIT License,MIT,PERMISSIVA,https://github.com/FabricMC/fabric-example-mod/blob/main/LICENSE,Metadata fabric.mod.json / JAR embedded,1.0,True,825733,7273189,,SIM,SIM,SIM,SIM,SIM,SIM,NÃO,SIM,SIM,CONDICIONAL,NÃO,ALTA,APROVADO,
MobsBeGone-0.0.7.jar,ad45c9c1bfe8c018d372f9fb6eb3e95507d6252b6cb4204478d04653d9634e98,mobsbegone,MobsBeGone,0.0.7,Olivia; EasyMochi,*,https://www.curseforge.com/minecraft/mc-mods/mobsbegone,,All Rights Reserved,ARR,ARR,https://www.curseforge.com/minecraft/mc-mods/mobsbegone,Metadata fabric.mod.json,1.0,False,1302442,6742844,,SIM,SIM,NÃO,SIM,SIM,NÃO,NÃO,CONDICIONAL,CONDICIONAL,CONDICIONAL,NÃO,ALTA,APROVADO,Mod ARR com permissao de distribuicao ativada no CurseForge via CurseForge Modpack Manifest.
